id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
130,BENIGNO MALO  6-16, MALL DEL RIO PATIO DE COMIDAS ,130,YANUNCAY;
"131,ROBERTO CRESPO Y EDUARDO ARIAS,,131,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"132,AV. GONZALES SUAREZ 4-18,,132,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"133,MARISCAL LAMAR 8-27 BENIGNO MALO,,133,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"134,SUCRE S/N MANUEL VEGA,,134,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
135,HERMANO MIGUEL  5-84 JUAN JARAMILLO,FRENTE A LA CONTRALORIA,135,EL SAGRARIO;
136,TARQUI 9-69 GRAN COLOMBIA, A UNA CUADRA DEL PARQUE SAN BLAS ,136,SAN BLAS;
137,PTE. CORDOVA Y PADRE AGUIRRE,A DOS CUADRAS DE SAN BLAS,137,EL SAGRARIO;
138,JUAN MONTALVO 8-33 BOLIVAR Y SUCRE,A MEDIA CUADRA DE LA IGLESIA EL CENACULO,138,EL SAGRARIO;
"139,LATINOAMERICANA  1-50 CUBA,,139,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
140,CALLE SIN NOMBRE Y MIRADOR TURI,JUNTO A LA CASA DE 1860,140,SAN SEBASTIÁN;
"141,SIMON BOLIVAR 13-93 ESTEVEZ DE TORAL,"" En la Av. Unidad Nacional virar por la calle Cuba, hasta Parque El Angel y dar la vuelta total al parque. "",141,EL BATÁN";
"142,Manuel Vega  12-57 Sangurima,,142,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
143,AV MAX UHLE  2-78 CAMILO EGAS,A UNA CUADRA DE LA IGLESIA SAN SEBASTIAN,143,SAN SEBASTIÁN;
144,BOLIVAR Y MIGUEL HEREDIA,TRES CUADRAS DEL PARQUE SAM BLAS,144,SAN BLAS;
145,Luis Cordero 5-48 Honorato Vasquez, TRES CUADRAS ANTES DE EMPRESA ELECTRICA ,145,MONAY;
"146,SANGURIMA 8-44,,146,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"147,HONORATO VAZQUES 7-72,,147,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
