id_Parroquia,nombre,cabecera,Id_Canton,id_direccion
"221,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"222,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"223,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"224,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"225,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"226,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"227,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"228,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"229,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"230,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"231,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"232,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"233,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"234,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"235,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"236,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"237,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"238,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"239,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"240,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"241,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"242,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"243,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"244,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"245,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
